id,tweet,tweet_length,tweet_cleaned,tweet_clst
972,<e>Mitt  </e>wants to make<a> immigrant children serve in the military to gain citizenship</a>.  I can't even handle this. #debate #REALLY?,139,"['Mitt', 'want', 'make', 'immigrant', 'children', 'serve', 'military', 'gain', 'citizenship', 'ca', 'even', 'handle', 'debate', 'REALLY']",Mitt wants to make immigrant children serve in the military to gain citizenship I ca n't even handle this debate REALLY
973,I hate  <e>Romney </e>.,23,"['hate', 'Romney']",I hate Romney
974,If  <e>romney  </e>is so great why is 12.3% of massachusetts population on food stamps?,87,"['romney', 'great', 'massachusetts', 'population', 'food', 'stamp']",If romney is so great why is 12.3 of massachusetts population on food stamps
975,"<e>Romney  </e>wants to foster brain drain by attaching green cards to all diplomas around the world, wha? #debate",114,"['Romney', 'want', 'foster', 'brain', 'drain', 'attach', 'green', 'card', 'diplomas', 'around', 'world', 'wha', 'debate']",Romney wants to foster brain drain by attaching green cards to all diplomas around the world wha debate
976,<e>Romney  </e>knows that he just <a>contridicted himself</a> doesn't he??,74,"['Romney', 'know', 'contridicted']",Romney knows that he just contridicted himself does n't he
977,<e>Romney  </e>is so fucking annoying.,38,"['Romney', 'fuck', 'annoy']",Romney is so fucking annoying
978,"<e>Mitt Romney  </e><a>never answers a question directly</a>. You'd ask this dude, What color  is the sky? He'd reply: ""I've always loved colors . . .""",151,"['Mitt', 'Romney', 'never', 'answer', 'question', 'directly', 'ask', 'dude', 'color', 'sky', 'reply', 'always', 'love', 'color']",Mitt Romney never answers a question directly You 'd ask this dude What color is the sky He 'd reply I 've always loved colors
979,<e>Romney </e> Is The Only White Man I Know That Don't Answer A Fucking Question Instead He Tells His Life Story!!! #Whogivesafuck #NOBODY,138,"['Romney', 'White', 'Man', 'Know', 'Answer', 'Fucking', 'Question', 'Instead', 'Tells', 'Life', 'Story', 'Whogivesafuck', 'NOBODY']",Romney Is The Only White Man I Know That Do n't Answer A Fucking Question Instead He Tells His Life Story Whogivesafuck NOBODY
980,<e>Romney  </e><a>lied on so many things tonight</a>. Even the mediator had to correct him. Smh.,96,"['Romney', 'lie', 'many', 'things', 'tonight', 'Even', 'mediator', 'correct', 'Smh']",Romney lied on so many things tonight Even the mediator had to correct him Smh
981,I just randomly stopped doing my homework to watch the debate. I am angry now.  <e>Romney  </e>is such a fake.,110,"['randomly', 'stop', 'homework', 'watch', 'debate', 'angry', 'Romney', 'fake']",I just randomly stopped doing my homework to watch the debate I am angry now Romney is such a fake
982,The thing that bothers me is that most of these  <e>Romney  </e>voters are middle class. He does not give a fuck about you.<a>Only the rich.</a>,144,"['thing', 'bother', 'Romney', 'voters', 'middle', 'class', 'give', 'fuck', 'rich']",The thing that bothers me is that most of these Romney voters are middle class He does not give a fuck about you.Only the rich
983,<e>Romney  </e>saying he supports 2 parent families is good and all but sometimes shit doesn't work out and I grew up perfectly fine with 1 parent.,147,"['Romney', 'say', 'support', 'parent', 'families', 'good', 'sometimes', 'shit', 'work', 'grow', 'perfectly', 'fine', 'parent']",Romney saying he supports 2 parent families is good and all but sometimes shit does n't work out and I grew up perfectly fine with 1 parent
984,<e>Mitt Romney  </e>doesnt deserve to win his <a>wife</a> to ugly,65,"['Mitt', 'Romney', 'doesnt', 'deserve', 'win', 'wife', 'ugly']",Mitt Romney doesnt deserve to win his wife to ugly
985,<e>Mitt Romney </e>'s creepy <a>sons</a> look like walking restraining orders. #HofstraDebate,93,"['Mitt', 'Romney', 'creepy', 'sons', 'look', 'like', 'walk', 'restrain', 'order', 'HofstraDebate']",Mitt Romney 's creepy sons look like walking restraining orders HofstraDebate
986,"<e>mitt  </e>please put a diaper over your mouth, you're spewing shit all over the floor..",90,"['mitt', 'please', 'put', 'diaper', 'mouth', 'spew', 'shit', 'floor']",mitt please put a diaper over your mouth you 're spewing shit all over the floor
987,Something about  <e>Romney </e>'s <a>smile/smirk</a> just makes me wanna punch him in the face.. 😑👊,99,"['Something', 'Romney', 'make', 'wan', 'na', 'punch', 'face']",Something about Romney 's smile/smirk just makes me wan na punch him in the face 😑👊
988,The fuck kinda <a>name</a> is  <e>Mitt  </e>anyway,50,"['fuck', 'kinda', 'name', 'Mitt', 'anyway']",The fuck kinda name is Mitt anyway
989,<e>Romney  </e>just got called out on a lie for the first time in his privileged life. He looked totally shocked.,113,"['Romney', 'get', 'call', 'lie', 'first', 'time', 'privilege', 'life', 'look', 'totally', 'shock']",Romney just got called out on a lie for the first time in his privileged life He looked totally shocked
990,Even the people that support  <e>Romney  </e>don't even fucking know what he was talking about.,95,"['Even', 'people', 'support', 'Romney', 'even', 'fuck', 'know', 'talk']",Even the people that support Romney do n't even fucking know what he was talking about
991,<e>Mitt Romney  </e>looks like the dude in the elevator who acts like he doesn't see you coming and lets the fuckin doors close...,130,"['Mitt', 'Romney', 'look', 'like', 'dude', 'elevator', 'act', 'like', 'see', 'come', 'let', 'fuckin', 'doors', 'close']",Mitt Romney looks like the dude in the elevator who acts like he does n't see you coming and lets the fuckin doors close
992,"Love that  <e>Romney  </e>bleated that ""<a>government doesn't create jobs</a>"" after promising to create 12 million jobs in 4 years.",132,"['Love', 'Romney', 'bleat', 'government', 'create', 'job', 'promise', 'create', 'million', 'job', 'years']",Love that Romney bleated that government does n't create jobs after promising to create 12 million jobs in 4 years
993,"I don't hate  <e>romney </e>, he's just not very specific. He never said how he was going to do anything he has planned. That's my only argument.",145,"['hate', 'romney', 'specific', 'never', 'say', 'go', 'anything', 'plan', 'argument']",I do n't hate romney he 's just not very specific He never said how he was going to do anything he has planned That 's my only argument
994,"<e>Mitt Romney  </e>wants two parents in the home, as long as they are of an opposite gender. #homophobe",104,"['Mitt', 'Romney', 'want', 'two', 'parent', 'home', 'long', 'opposite', 'gender', 'homophobe']",Mitt Romney wants two parents in the home as long as they are of an opposite gender homophobe
995,<e>Romney  </e>couldn't/didn't even answer how he would pay for 5 trillion in tax cuts. #debates,96,"['Romney', 'even', 'answer', 'would', 'pay', 'trillion', 'tax', 'cut', 'debate']",Romney couldn't/did n't even answer how he would pay for 5 trillion in tax cuts debates
996,<e>Mitt Romney </e>'s <a>career</a> is a mirage.,48,"['Mitt', 'Romney', 'career', 'mirage']",Mitt Romney 's career is a mirage
997,<e>Romney </e> is a <a>walking lie</a>. Who would leave work to vote for that turd?,83,"['Romney', 'walk', 'lie', 'would', 'leave', 'work', 'vote', 'turd']",Romney is a walking lie Who would leave work to vote for that turd
998,"I believe Gov  <e>Romney </e> is a good man too, but do you think he should be behind the big desk in the oval office in charge of our country? Naaah",149,"['believe', 'Gov', 'Romney', 'good', 'man', 'think', 'behind', 'big', 'desk', 'oval', 'office', 'charge', 'country', 'Naaah']",I believe Gov Romney is a good man too but do you think he should be behind the big desk in the oval office in charge of our country Naaah
999,<e>Romney  </e><a>wife</a> bout to give me nightmares.. #SheScaryyy,67,"['Romney', 'wife', 'bout', 'give', 'nightmares', 'SheScaryyy']",Romney wife bout to give me nightmares SheScaryyy
1000,"If the government doesn't create jobs, perhaps  <e>Romney  </e>should help by staying out of government.",104,"['government', 'create', 'job', 'perhaps', 'Romney', 'help', 'stay', 'government']",If the government does n't create jobs perhaps Romney should help by staying out of government
1001,"<e>Mitt </e>'s utter disrespect for the POTUS, telling him ""you'll get your turn"" might as well have been talking to the hired help. Disgraceful.",145,"['Mitt', 'utter', 'disrespect', 'POTUS', 'tell', 'get', 'turn', 'might', 'well', 'talk', 'hire', 'help', 'Disgraceful']",Mitt 's utter disrespect for the POTUS telling him you 'll get your turn might as well have been talking to the hired help Disgraceful
1002,One of my biggest pet peeves is when politicians bring their <a>religion</a> into their campaign. NOT EVERYONE IS A CHRISTIAN  <e>ROMNEY </e>.,142,"['One', 'biggest', 'pet', 'peeve', 'politicians', 'bring', 'religion', 'campaign', 'EVERYONE', 'CHRISTIAN', 'ROMNEY']",One of my biggest pet peeves is when politicians bring their religion into their campaign NOT EVERYONE IS A CHRISTIAN ROMNEY
1003,"agree: @Messina2012:  <e>Mitt Romney </e> ""was exposed on <a>the emptiness of his own plans</a>.""  http://t.co/CN9ojEEj",119,"['agree', 'Mitt', 'Romney', 'expose', 'emptiness', 'plan', 'http']",agree Messina2012 Mitt Romney was exposed on the emptiness of his own plans http t.co/CN9ojEEj
1004,<e>Romney  </e><a>couldn't answer HOW he would implement all of his plans.</a>,78,"['Romney', 'could', 'answer', 'would', 'implement', 'plan']",Romney could n't answer HOW he would implement all of his plans
1005,"<e>Romney </e> is probably a talented business man, but I'm not convinced he's the man for the job.",99,"['Romney', 'probably', 'talented', 'business', 'man', 'convince', 'man', 'job']",Romney is probably a talented business man but I 'm not convinced he 's the man for the job
1006,<e>Mitt</e> lying about <a>supporting the Dream Act</a> now. #p2 #debates,73,"['Mitt', 'lie', 'support', 'Dream', 'Act', 'debate']",Mitt lying about supporting the Dream Act now p2 debates
1007,"<e>Romney</e> saying he started from ""a small business &amp; built his way up"".. BITCH you were born with a silver spoon, your parents had money. Stfu.",151,"['Romney', 'say', 'start', 'small', 'business', 'amp', 'build', 'way', 'BITCH', 'bear', 'silver', 'spoon', 'parent', 'money', 'Stfu']",Romney saying he started from a small business amp built his way up BITCH you were born with a silver spoon your parents had money Stfu
1008,<e>Romney</e> look like the type of nigga that'll push the close elevator button knowing you running to get on it ▶◀,116,"['Romney', 'look', 'like', 'type', 'nigga', 'push', 'close', 'elevator', 'button', 'know', 'run', 'get']",Romney look like the type of nigga that 'll push the close elevator button knowing you running to get on it ▶◀
1009,The only thing <e>Romney</e> has done better tonight is embrace the fact that most voters would rather hear cliches than facts,126,"['thing', 'Romney', 'do', 'better', 'tonight', 'embrace', 'fact', 'voters', 'would', 'rather', 'hear', 'cliches', 'facts']",The only thing Romney has done better tonight is embrace the fact that most voters would rather hear cliches than facts
1010,LMFAO I WON'T GIVE THEM GREENCARDS goodbye <e>Romney</e> you just fucked it up,78,"['LMFAO', 'WO', 'GIVE', 'GREENCARDS', 'goodbye', 'Romney', 'fuck']",LMFAO I WO N'T GIVE THEM GREENCARDS goodbye Romney you just fucked it up
1011,So <e>Romney</e> identifies with Latinos now,44,"['Romney', 'identify', 'Latinos']",So Romney identifies with Latinos now
1012,<e>Mitt Romney</e> is gifted in <e>speaking</e> a lot of words but not saying a damb thing. #debates,100,"['Mitt', 'Romney', 'gift', 'speak', 'lot', 'word', 'say', 'damb', 'thing', 'debate']",Mitt Romney is gifted in speaking a lot of words but not saying a damb thing debates
1013,<e>Mitt Romney</e> acts like if he <a>gets elected</e> everything would be fixed within seconds.,96,"['Mitt', 'Romney', 'act', 'like', 'get', 'elect', 'everything', 'would', 'fix', 'within', 'second']",Mitt Romney acts like if he gets elected everything would be fixed within seconds
1014,"No Drivers Licences, No Work???? Uuuuuh <e>Romney</e> Me No Like You....",72,"['Drivers', 'Licences', 'Work', 'Uuuuuh', 'Romney', 'Like']",No Drivers Licences No Work Uuuuuh Romney Me No Like You
1015,<e>Romney</e> in favour of <a>immigration</a>? He opposes same-sex couples being together under European civil marriage in the US #obama12,138,"['Romney', 'favour', 'immigration', 'oppose', 'couple', 'together', 'European', 'civil', 'marriage', 'US']",Romney in favour of immigration He opposes same-sex couples being together under European civil marriage in the US obama12
1016,<e>Romney</e> is so full of bullshit. He knows he's not gunna do half the shit he's saying . ✋ Boy bye,102,"['Romney', 'full', 'bullshit', 'know', 'gunna', 'half', 'shit', 'say', 'Boy', 'bye']",Romney is so full of bullshit He knows he 's not gunna do half the shit he 's saying ✋ Boy bye
1017,I'm a little confused as to what #<e>Romney</e>'s actual <a>views</a> are. He seems to keep changing them...,108,"['little', 'confuse', 'Romney', 'actual', 'view', 'seem', 'keep', 'change']",I 'm a little confused as to what Romney 's actual views are He seems to keep changing them
1018,<e>Romney</e> looked to the right which means he's lying. #MclaneTaughtMeWell,77,"['Romney', 'look', 'right', 'mean', 'lie', 'MclaneTaughtMeWell']",Romney looked to the right which means he 's lying MclaneTaughtMeWell
1019,"Fuck you <e>mitt romney</e>, he's gonna tale my sister away from us and her daughter #GoObama",93,"['Fuck', 'mitt', 'romney', 'gon', 'na', 'tale', 'sister', 'away', 'us', 'daughter', 'GoObama']",Fuck you mitt romney he 's gon na tale my sister away from us and her daughter GoObama
1020,"The question <e>Mitt</e> is what would you do with immigrants that are productive members of our society. He said ""They have to go!""",132,"['question', 'Mitt', 'would', 'immigrants', 'productive', 'members', 'society', 'say', 'go']",The question Mitt is what would you do with immigrants that are productive members of our society He said They have to go
1021,"Hispanics, <e>Mitt</e> wants you in the Army. Iran ain't gonna invade itself",76,"['Hispanics', 'Mitt', 'want', 'Army', 'Iran', 'ai', 'gon', 'na', 'invade']",Hispanics Mitt wants you in the Army Iran ai n't gon na invade itself
1022,"ok, so far <e>romney</e> has <a>endorsed</a> both obamacare and the DREAM act. this is going well. #debates",107,"['ok', 'far', 'romney', 'endorse', 'obamacare', 'DREAM', 'act', 'go', 'well', 'debate']",ok so far romney has endorsed both obamacare and the DREAM act this is going well debates
1023,"<e>Mitt</e>: ""I'm gonna kick your family and friends the fuck outta here lady. Next question."" #debate",102,"['Mitt', 'gon', 'na', 'kick', 'family', 'friends', 'fuck', 'outta', 'lady', 'Next', 'question', 'debate']",Mitt I 'm gon na kick your family and friends the fuck outta here lady Next question debate
1024,"<e>Romney</e>, take a seat. Preferably at your house. #gohome",61,"['Romney', 'take', 'seat', 'Preferably', 'house', 'gohome']",Romney take a seat Preferably at your house gohome
1025,The US is the land of opportunity.. hmph not if <e>Romney</e> is elected..,74,"['US', 'land', 'opportunity', 'hmph', 'Romney', 'elect']",The US is the land of opportunity hmph not if Romney is elected
1026,<e>Mitt Romney</e> you are a fool.,34,"['Mitt', 'Romney', 'fool']",Mitt Romney you are a fool
1027,<e>ROMNEY</e> DOESN'T GIVE 2 HOT SACKS OF DOG PISS ABOUT IMMIGRANTS!!!!!!!!!!,77,"['ROMNEY', 'GIVE', 'HOT', 'SACKS', 'DOG', 'PISS', 'IMMIGRANTS']",ROMNEY DOES N'T GIVE 2 HOT SACKS OF DOG PISS ABOUT IMMIGRANTS
1028,"There's something shady abt <e>Romney</e>, I don't like him, he's confused, inconsistent and he talks damn too much! Gosh! #teamobama",133,"['something', 'shady', 'abt', 'Romney', 'like', 'confuse', 'inconsistent', 'talk', 'damn', 'much', 'Gosh', 'teamobama']",There 's something shady abt Romney I do n't like him he 's confused inconsistent and he talks damn too much Gosh teamobama
1029,A Latina. Immigration question. <e>Romney</e> is blathering. Very unschooled on immigration.,92,"['Latina', 'Immigration', 'question', 'Romney', 'blather', 'unschooled', 'immigration']",A Latina Immigration question Romney is blathering Very unschooled on immigration
1030,"Yeah I'm done watching the debate,  because I already know who I'm voting for. And it ain't nothing mitt <e>Romney</e> can say to persuade me.",142,"['Yeah', 'do', 'watch', 'debate', 'already', 'know', 'vote', 'ai', 'nothing', 'mitt', 'Romney', 'say', 'persuade']",Yeah I 'm done watching the debate because I already know who I 'm voting for And it ai n't nothing mitt Romney can say to persuade me
1031,For a man with a binder full of women...<e>Mitt</e> seemed very condescening to Lorraine. #debate,97,"['man', 'binder', 'full', 'women', 'Mitt', 'seem', 'condescening', 'Lorraine', 'debate']",For a man with a binder full of women Mitt seemed very condescening to Lorraine debate
1032,<e>Romney</e> just lost all #hispanicvotes #Debates,51,"['Romney', 'lose', 'hispanicvotes', 'Debates']",Romney just lost all hispanicvotes Debates
1033,<e>Romney</e> keeps talking about the President filing bills. The President can't do that. Only Congresspersons can. #debate,124,"['Romney', 'keep', 'talk', 'President', 'file', 'bill', 'President', 'ca', 'Congresspersons', 'debate']",Romney keeps talking about the President filing bills The President ca n't do that Only Congresspersons can debate
1034,<e>Romney</e> never <a>answers any questions</a>. Like HOW SPECIFICALLY are you going to go about doing any of these things you're promising? I'll wait...,154,"['Romney', 'never', 'answer', 'question', 'Like', 'SPECIFICALLY', 'go', 'go', 'things', 'promise', 'wait']",Romney never answers any questions Like HOW SPECIFICALLY are you going to go about doing any of these things you 're promising I 'll wait
1035,<e>MITT ROMNEY</e> IS LYING U VOTE FOR HIM YOUR TUITION IS GOING TO SKY ROCKET AND U WILL NOT BE ABLE TO AFFORD SKOOL UNLESS YOUR A ATHLETE OR RICH,147,"['MITT', 'ROMNEY', 'LYING', 'U', 'VOTE', 'TUITION', 'GOING', 'SKY', 'ROCKET', 'U', 'ABLE', 'AFFORD', 'SKOOL', 'UNLESS', 'ATHLETE', 'RICH']",MITT ROMNEY IS LYING U VOTE FOR HIM YOUR TUITION IS GOING TO SKY ROCKET AND U WILL NOT BE ABLE TO AFFORD SKOOL UNLESS YOUR A ATHLETE OR RICH
1036,<e>Romney:</e> if they have diplomas they can come... And take those college-level jobs I keep talking about #debate2012,120,"['Romney', 'diplomas', 'come', 'take', 'job', 'keep', 'talk']",Romney if they have diplomas they can come And take those college-level jobs I keep talking about debate2012
1037,"<e>Romney</e> is stupid, how do you plan on stopping a bunch of illegal immigrants? Those niggas will straight up kill you. Don't play",134,"['Romney', 'stupid', 'plan', 'stop', 'bunch', 'illegal', 'immigrants', 'niggas', 'straight', 'kill', 'play']",Romney is stupid how do you plan on stopping a bunch of illegal immigrants Those niggas will straight up kill you Do n't play
1038,<e>Romney</e> just lost the <a>foreign born vote</a>....please keep talking Mitt,80,"['Romney', 'lose', 'foreign', 'bear', 'vote', 'please', 'keep', 'talk', 'Mitt']",Romney just lost the foreign born vote please keep talking Mitt
1039,<e>Romney</e> make the <a>debate</a> boring .,45,"['Romney', 'make', 'debate', 'bore']",Romney make the debate boring
1040,wow ain't that some shit ? the only way you can come to this country is if you become apart of the military <e>romney</e> ? really ?,132,"['wow', 'ai', 'shit', 'way', 'come', 'country', 'become', 'apart', 'military', 'romney', 'really']",wow ai n't that some shit the only way you can come to this country is if you become apart of the military romney really
1041,"Don't vote <e>Romney</e>, cause you will get pregnant. And die.",63,"['vote', 'Romney', 'cause', 'get', 'pregnant', 'die']",Do n't vote Romney cause you will get pregnant And die
1042,<e>Romney</e> sit your irrelevant ass down Kay?,47,"['Romney', 'sit', 'irrelevant', 'ass', 'Kay']",Romney sit your irrelevant ass down Kay
1043,Did <e>Romney</e> just say he wanted to create an military force of the children of illegal immigrants? Seriously?,114,"['Romney', 'say', 'want', 'create', 'military', 'force', 'children', 'illegal', 'immigrants', 'Seriously']",Did Romney just say he wanted to create an military force of the children of illegal immigrants Seriously
1044,really now all of sudden u care about the things u say u don't care about.....this dude <e>Romney</e> is confused his slyness doesn't fool me,141,"['really', 'sudden', 'u', 'care', 'things', 'u', 'say', 'u', 'care', 'dude', 'Romney', 'confuse', 'slyness', 'fool']",really now all of sudden u care about the things u say u do n't care about this dude Romney is confused his slyness does n't fool me
1045,Well umm are we gonna get to choose our plantations if <e>Romney</e> is president or are they gonna separate us from our families and shit?,139,"['Well', 'umm', 'gon', 'na', 'get', 'choose', 'plantations', 'Romney', 'president', 'gon', 'na', 'separate', 'us', 'families', 'shit']",Well umm are we gon na get to choose our plantations if Romney is president or are they gon na separate us from our families and shit
1046,No <e>Romney</e> time is up. Stop talking,41,"['Romney', 'time', 'Stop', 'talk']",No Romney time is up Stop talking
1047,<e>Romney</e> badly fumbled the <a>Women jobs question</a> - calling them housewives that work - oouucchhh lol,110,"['Romney', 'badly', 'fumble', 'Women', 'job', 'question', 'call', 'housewives', 'work', 'oouucchhh', 'lol']",Romney badly fumbled the Women jobs question calling them housewives that work oouucchhh lol
1048,Heard in my house while <e>Romney</e> is speaking: you lie you lie you lie you (expletive deleted) lie,102,"['Heard', 'house', 'Romney', 'speak', 'lie', 'lie', 'lie', 'expletive', 'delete', 'lie']",Heard in my house while Romney is speaking you lie you lie you lie you expletive deleted lie
1049,I just can't stand <e>Romney</e>. He is so <a>inconsistent</a>. That is my biggest pet peeve.,93,"['ca', 'stand', 'Romney', 'inconsistent', 'biggest', 'pet', 'peeve']",I just ca n't stand Romney He is so inconsistent That is my biggest pet peeve
1050,And <e>Romney</e> just lost some people by saying he won't give a break to illegal immigrants...,96,"['Romney', 'lose', 'people', 'say', 'wo', 'give', 'break', 'illegal', 'immigrants']",And Romney just lost some people by saying he wo n't give a break to illegal immigrants
1051,If <e>romney</e> become president... We going back to the plantations,69,"['romney', 'become', 'president', 'go', 'back', 'plantations']",If romney become president We going back to the plantations
1052,Wtf? Fuck you <e>Romney</e>. People wouldn't come here illegally if you didn't make it so hard for people to live here asshole.,127,"['Wtf', 'Fuck', 'Romney', 'People', 'would', 'come', 'illegally', 'make', 'hard', 'people', 'live', 'asshole']",Wtf Fuck you Romney People would n't come here illegally if you did n't make it so hard for people to live here asshole
1053,How many of <e>Mitt</e>'s domestic household help are not legal immigrants? #PresidentialDebate,95,"['many', 'Mitt', 'domestic', 'household', 'help', 'legal', 'immigrants', 'PresidentialDebate']",How many of Mitt 's domestic household help are not legal immigrants PresidentialDebate
1054,"<e>Mitt</e>-o-nomics: ""Jobs will flow from letting rich folks and corporations pay little or no tax.""  Yep...Hotel Maid Gardner &amp; Food Service jobs",151,"['Jobs', 'flow', 'let', 'rich', 'folks', 'corporations', 'pay', 'little', 'tax', 'Yep', 'Hotel', 'Maid', 'Gardner', 'amp', 'Food', 'Service', 'job']",Mitt-o-nomics Jobs will flow from letting rich folks and corporations pay little or no tax Yep Hotel Maid Gardner amp Food Service jobs
1055,I don't even want to hear <e>Mitt Romney</e> <a>speak</a> anymore. I get annoyed every time he opens his mouth lol,114,"['even', 'want', 'hear', 'Mitt', 'Romney', 'speak', 'anymore', 'get', 'annoy', 'every', 'time', 'open', 'mouth', 'lol']",I do n't even want to hear Mitt Romney speak anymore I get annoyed every time he opens his mouth lol
1056,<e>Romney</e> is trying to kick my people out and give them no help. #TeamObama,79,"['Romney', 'try', 'kick', 'people', 'give', 'help', 'TeamObama']",Romney is trying to kick my people out and give them no help TeamObama
1057,I don't even care who runs the country tbh I just like making fun of <e>mitt romney</e> he makes it so EASY,107,"['even', 'care', 'run', 'country', 'tbh', 'like', 'make', 'fun', 'mitt', 'romney', 'make', 'EASY']",I do n't even care who runs the country tbh I just like making fun of mitt romney he makes it so EASY
1058,<e>Mitt Romey</e> smirking. Waiting to talk. Daydreaming about polygamy.,72,"['Mitt', 'Romey', 'smirk', 'Waiting', 'talk', 'Daydreaming', 'polygamy']",Mitt Romey smirking Waiting to talk Daydreaming about polygamy
1059,Oh snap <e>Mitt</e> just said if you're born here of immigrant parents you should go to the military out of high school OMG #debate,131,"['Oh', 'snap', 'Mitt', 'say', 'bear', 'immigrant', 'parent', 'go', 'military', 'high', 'school', 'OMG', 'debate']",Oh snap Mitt just said if you 're born here of immigrant parents you should go to the military out of high school OMG debate
1060,"When I hear <e>Romney</e> talk, I just see someone who's FAKE.  #Debate2012",75,"['hear', 'Romney', 'talk', 'see', 'someone', 'FAKE']",When I hear Romney talk I just see someone who 's FAKE Debate2012
1061,I think <e>Romney</e> should explain his position and give details. Simply saying Obama is wrong does not make him right.,121,"['think', 'Romney', 'explain', 'position', 'give', 'detail', 'Simply', 'say', 'Obama', 'wrong', 'make', 'right']",I think Romney should explain his position and give details Simply saying Obama is wrong does not make him right
1062,<e>Romney</e> needs to shut the hell up. we all knew he don't care about spanish people @romney,95,"['Romney', 'need', 'shut', 'hell', 'know', 'care', 'spanish', 'people', 'romney']",Romney needs to shut the hell up we all knew he do n't care about spanish people romney
1063,"As a woman, who runs her own business, i am 100% offended by the thought of this scary <e>Romney</e> man.",105,"['woman', 'run', 'business', 'offend', 'think', 'scary', 'Romney', 'man']",As a woman who runs her own business i am 100 offended by the thought of this scary Romney man
1064,<e>ROMNEY</e> DEMANDS DEPLOYMENT OF IMMIGRANT CHILD SOLDIERS #debates #KONY2012,79,"['ROMNEY', 'DEMANDS', 'DEPLOYMENT', 'IMMIGRANT', 'CHILD', 'SOLDIERS', 'debate']",ROMNEY DEMANDS DEPLOYMENT OF IMMIGRANT CHILD SOLDIERS debates KONY2012
1065,<e>Romney</e> ain't tryna do shit but make us all slaves #haveaseat,67,"['Romney', 'ai', 'tryna', 'shit', 'make', 'us', 'slave', 'haveaseat']",Romney ai n't tryna do shit but make us all slaves haveaseat
1066,<e>Romney</e> is a disrespectful lil man! There is nooo way he would get my vote to run my country,98,"['Romney', 'disrespectful', 'lil', 'man', 'nooo', 'way', 'would', 'get', 'vote', 'run', 'country']",Romney is a disrespectful lil man There is nooo way he would get my vote to run my country
1067,"<e>Romney</e> just lost the latino vote, #Dumbass",49,"['Romney', 'lose', 'latino', 'vote', 'Dumbass']",Romney just lost the latino vote Dumbass
1068,"AMERICA WAS FOUNDED BY IMMIGRANTS. FUCK YOU MEAN, <e>ROMNEY</e>? RACIST BASTARD.",80,"['AMERICA', 'FOUNDED', 'IMMIGRANTS', 'FUCK', 'MEAN', 'ROMNEY', 'RACIST', 'BASTARD']",AMERICA WAS FOUNDED BY IMMIGRANTS FUCK YOU MEAN ROMNEY RACIST BASTARD
1069,"<e>Romney</e> avoiding questions like its child support , lol",61,"['Romney', 'avoid', 'question', 'like', 'child', 'support', 'lol']",Romney avoiding questions like its child support lol
1070,<e>Romney</e> doesn't have a legit campaign.,44,"['Romney', 'legit', 'campaign']",Romney does n't have a legit campaign
1071,<e>Romney</e> opposed the Dream Act yet he apparently would provide a pathway to children of illegal immigrants brought to this country. #GObama,144,"['Romney', 'oppose', 'Dream', 'Act', 'yet', 'apparently', 'would', 'provide', 'pathway', 'children', 'illegal', 'immigrants', 'bring', 'country', 'GObama']",Romney opposed the Dream Act yet he apparently would provide a pathway to children of illegal immigrants brought to this country GObama
1072,<e>Mitt romneys</e> so great!!! Omg i love him so much. #shitnoonesays,70,"['Mitt', 'romneys', 'great', 'Omg', 'love', 'much', 'shitnoonesays']",Mitt romneys so great Omg i love him so much shitnoonesays
1073,<e>Mitt Romney</e> Is Basically A Used Car Salesman,51,"['Mitt', 'Romney', 'Basically', 'Used', 'Car', 'Salesman']",Mitt Romney Is Basically A Used Car Salesman
1074,"<e>Romney</e> advises college students to ""borrow money from your parents if you have to."" Seriously? That's your best advice?",126,"['Romney', 'advise', 'college', 'students', 'borrow', 'money', 'parent', 'Seriously', 'best', 'advice']",Romney advises college students to borrow money from your parents if you have to Seriously That 's your best advice
1075,<e>Romney</e> just be lying,27,"['Romney', 'lie']",Romney just be lying
1076,"<e>Romney</e> has NO RESPECT for THE PRESIDENT, SMH. So I KNOW he won't the respect THE PEOPLE.",95,"['Romney', 'RESPECT', 'PRESIDENT', 'SMH', 'KNOW', 'wo', 'respect', 'PEOPLE']",Romney has NO RESPECT for THE PRESIDENT SMH So I KNOW he wo n't the respect THE PEOPLE
1077,"<e>Mitt Romney</e> keeps talking about jobs, taxes, jobs, taxes... OMG, what about education!?",94,"['Mitt', 'Romney', 'keep', 'talk', 'job', 'tax', 'job', 'tax', 'OMG', 'education']",Mitt Romney keeps talking about jobs taxes jobs taxes OMG what about education
1078,<e>ROMNEY</e> NEEDS TO STFU he said for kids that come in illegaly can in list in the army and get there green cards.BITCH this aint AFRICA,139,"['ROMNEY', 'NEEDS', 'STFU', 'say', 'kid', 'come', 'illegaly', 'list', 'army', 'get', 'green', 'aint', 'AFRICA']",ROMNEY NEEDS TO STFU he said for kids that come in illegaly can in list in the army and get there green cards.BITCH this aint AFRICA
1079,<e>Romney</e> will say anything to be a president  No specifics an act of faith.,80,"['Romney', 'say', 'anything', 'president', 'specifics', 'act', 'faith']",Romney will say anything to be a president No specifics an act of faith
1080,<e>Romney</e> is out his fucking mind! Put the immagrant babies in the military!!!!,83,"['Romney', 'fuck', 'mind', 'Put', 'immagrant', 'baby', 'military']",Romney is out his fucking mind Put the immagrant babies in the military
